,precision,recall,f1-score,support
BPO,0.0,0.0,0.0,4.0
AUTOMOBILE,1.0,0.14285714285714285,0.25,7.0
ARTS,0.7142857142857143,0.23809523809523808,0.35714285714285715,21.0
APPAREL,1.0,0.3684210526315789,0.5384615384615384,19.0
AGRICULTURE,1.0,0.38461538461538464,0.5555555555555556,13.0
CONSULTANT,0.7777777777777778,0.6086956521739131,0.6829268292682927,23.0
SALES,0.59375,0.8260869565217391,0.6909090909090909,23.0
PUBLIC-RELATIONS,0.6538461538461539,0.7727272727272727,0.7083333333333334,22.0
FINANCE,0.7391304347826086,0.7083333333333334,0.723404255319149,24.0
TEACHER,0.5882352941176471,1.0,0.7407407407407407,20.0
DIGITAL-MEDIA,0.8125,0.6842105263157895,0.7428571428571429,19.0
BANKING,0.8,0.6956521739130435,0.7441860465116279,23.0
HEALTHCARE,0.7727272727272727,0.7391304347826086,0.7555555555555555,23.0
ACCOUNTANT,0.6764705882352942,0.9583333333333334,0.7931034482758621,24.0
CHEF,0.8636363636363636,0.7916666666666666,0.8260869565217391,24.0
INFORMATION-TECHNOLOGY,0.7272727272727273,1.0,0.8421052631578947,24.0
FITNESS,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
ENGINEERING,0.8695652173913043,0.8333333333333334,0.851063829787234,24.0
AVIATION,0.8148148148148148,0.9166666666666666,0.8627450980392157,24.0
ADVOCATE,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
BUSINESS-DEVELOPMENT,0.88,0.9166666666666666,0.8979591836734694,24.0
HR,0.8148148148148148,1.0,0.8979591836734694,22.0
DESIGNER,0.84,1.0,0.9130434782608695,21.0
CONSTRUCTION,0.875,0.9545454545454546,0.9130434782608695,22.0
